Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2020-03-30T19:50:00Z,APA,3.81244962,-73,Market,Filled,-278.30882226,Liquidated 
2020-03-31T19:50:00Z,APA,3.86879124,82,Market,Filled,317.24088168, 
2020-03-31T19:50:00Z,KIM,7.88130682,19,Market,Filled,149.74482958, 
2020-03-31T19:50:00Z,M,4.513964208,60,Market,Filled,270.83785248, 
2020-04-01T19:50:00Z,BHGE,8.649703884,16,Market,Filled,138.395262144, 
2020-04-01T19:50:00Z,HPE,8.4510768,16,Market,Filled,135.2172288, 
2020-04-01T19:50:00Z,KEY,7.761981084,20,Market,Filled,155.23962168, 
2020-04-01T19:50:00Z,MRO,2.93895872,141,Market,Filled,414.39317952, 
2020-04-01T19:50:00Z,RF,7.040725698,24,Market,Filled,168.977416752, 
2020-04-01T19:50:00Z,UA,7.36,22,Market,Filled,161.92, 
2020-04-01T19:50:00Z,CCL,8.87,15,Market,Filled,133.05, 
2020-04-01T19:50:00Z,APA,3.77488854,-82,Market,Filled,-309.54086028,Liquidated 
2020-04-01T19:50:00Z,GPS,4.928806152,-45,Market,Filled,-221.79627684,Liquidated 
2020-04-01T19:50:00Z,HBI,6.462750052,-25,Market,Filled,-161.5687513,Liquidated 
2020-04-01T19:50:00Z,KIM,7.221264519,-19,Market,Filled,-137.204025861,Liquidated 
2020-04-01T19:50:00Z,M,4.046053284,-60,Market,Filled,-242.76319704,Liquidated 
2020-04-01T19:50:00Z,PBCT,9.3019542,-12,Market,Filled,-111.6234504,Liquidated 
2020-04-02T19:50:00Z,APA,4.34769501,64,Market,Filled,278.25248064, 
2020-04-02T19:50:00Z,GPS,4.600779804,57,Market,Filled,262.244448828, 
2020-04-02T19:50:00Z,HBI,6.296139128,30,Market,Filled,188.88417384, 
2020-04-02T19:50:00Z,KIM,6.595595391,28,Market,Filled,184.676670948, 
2020-04-02T19:50:00Z,KSS,9.868722903,12,Market,Filled,118.424674836, 
2020-04-02T19:50:00Z,M,4.027703836,75,Market,Filled,302.0777877, 
2020-04-02T19:50:00Z,PBCT,9.1121184,14,Market,Filled,127.5696576, 
2020-04-02T19:50:00Z,HBAN,6.0472163,-31,Market,Filled,-187.4637053,Liquidated 
2020-04-02T19:50:00Z,HPE,8.142964625,-16,Market,Filled,-130.287434,Liquidated 
2020-04-02T19:50:00Z,HST,8.701864248,-13,Market,Filled,-113.124235224,Liquidated 
2020-04-02T19:50:00Z,NCLH,8.11,-16,Market,Filled,-129.76,Liquidated 
2020-04-02T19:50:00Z,UA,6.77,-22,Market,Filled,-148.94,Liquidated 
2020-04-02T19:50:00Z,UA,7.68,-18,Market,Filled,-138.24,Liquidated 
2020-04-02T19:50:00Z,CCL,7.96,-15,Market,Filled,-119.4,Liquidated 
2020-04-03T19:50:00Z,AAL,9.37,13,Market,Filled,121.81, 
2020-04-03T19:50:00Z,HBAN,5.71357678,37,Market,Filled,211.40234086, 
2020-04-03T19:50:00Z,HPE,8.213390265,18,Market,Filled,147.84102477, 
2020-04-03T19:50:00Z,HST,8.379913668,17,Market,Filled,142.458532356, 
2020-04-03T19:50:00Z,NCLH,8.39,17,Market,Filled,142.63, 
2020-04-03T19:50:00Z,UA,7.45,21,Market,Filled,156.45, 
2020-04-03T19:50:00Z,UA,8.26,17,Market,Filled,140.42, 
2020-04-03T19:50:00Z,CCL,8.52,16,Market,Filled,136.32, 
2020-04-03T19:50:00Z,KEY,7.417368816,-20,Market,Filled,-148.34737632,Liquidated 
2020-04-03T19:50:00Z,PBCT,8.542611,-14,Market,Filled,-119.596554,Liquidated 
2020-04-03T19:50:00Z,RF,6.836399922,-24,Market,Filled,-164.073598128,Liquidated 
2020-04-06T19:50:00Z,KEY,8.147618622,18,Market,Filled,146.657135196, 
2020-04-06T19:50:00Z,PBCT,9.3742726,14,Market,Filled,131.2398164, 
2020-04-06T19:50:00Z,RF,7.517485842,22,Market,Filled,165.384688524, 
2020-04-16T04:00:00Z,M,5.330514644,-75,Market On Open,Filled,-399.7885983,Liquidated 
2020-04-21T19:50:00Z,HPE,7.966900525,-18,Market,Filled,-143.40420945,Liquidated 
2020-04-23T19:50:00Z,HPE,8.160571035,19,Market,Filled,155.050849665, 
2020-04-23T19:50:00Z,IVZ,6.01903484,-30,Market,Filled,-180.5710452,Liquidated 
2020-04-24T19:50:00Z,IVZ,6.473769615,30,Market,Filled,194.21308845, 
2020-05-06T19:50:00Z,NWL,9.79086069,13,Market,Filled,127.28118897, 
2020-05-06T19:50:00Z,IVZ,6.31667942,-30,Market,Filled,-189.5003826,Liquidated 
2020-05-07T19:50:00Z,IVZ,6.341483135,32,Market,Filled,202.92746032, 
2020-05-12T19:50:00Z,IVZ,6.126303084,-32,Market,Filled,-196.041698688,Liquidated 
2020-05-13T04:00:00Z,KORS,13.17,-24,Market On Open,Filled,-316.08,Liquidated 
2020-05-13T19:50:00Z,AAL,9.05,-13,Market,Filled,-117.65,Liquidated 
2020-05-13T19:50:00Z,COTY,3.71,-76,Market,Filled,-281.96,Liquidated 
2020-05-13T19:50:00Z,HPE,7.966900525,-19,Market,Filled,-151.371109975,Liquidated 
2020-05-13T19:50:00Z,KEY,7.901467002,-18,Market,Filled,-142.226406036,Liquidated 
2020-05-13T19:50:00Z,UA,6.94,-21,Market,Filled,-145.74,Liquidated 
2020-05-13T19:50:00Z,UA,7.78,-17,Market,Filled,-132.26,Liquidated 
2020-05-14T19:50:00Z,AAL,9.09,15,Market,Filled,136.35, 
2020-05-14T19:50:00Z,COTY,3.41,110,Market,Filled,375.1, 
2020-05-14T19:50:00Z,HPE,8.04612937,19,Market,Filled,152.87645803, 
2020-05-14T19:50:00Z,IVZ,5.898465366,36,Market,Filled,212.344753176, 
2020-05-14T19:50:00Z,KEY,8.12300346,19,Market,Filled,154.33706574, 
2020-05-14T19:50:00Z,UA,6.93,26,Market,Filled,180.18, 
2020-05-14T19:50:00Z,UA,7.75,21,Market,Filled,162.75, 
2020-05-15T19:50:00Z,COTY,3.31,-110,Market,Filled,-364.1,Liquidated 
2020-05-15T19:50:00Z,IVZ,5.65375078,-36,Market,Filled,-203.53502808,Liquidated 
2020-05-18T19:50:00Z,COTY,3.45,110,Market,Filled,379.5, 
2020-05-19T19:50:00Z,COTY,3.26,-110,Market,Filled,-358.6,Liquidated 
2020-06-12T19:50:00Z,COTY,4.86,56,Market,Filled,272.16, 
2020-06-12T19:50:00Z,IVZ,8.69158702,17,Market,Filled,147.75697934, 
2020-06-18T19:50:00Z,COTY,4.69,-56,Market,Filled,-262.64,Liquidated 
2020-06-22T19:50:00Z,COTY,4.62,63,Market,Filled,291.06, 
2020-06-24T19:50:00Z,COTY,4.37,-63,Market,Filled,-275.31,Liquidated 
2020-06-25T19:50:00Z,COTY,4.33,71,Market,Filled,307.43, 
2020-06-26T19:50:00Z,COTY,4.15,-71,Market,Filled,-294.65,Liquidated 
2020-06-26T19:50:00Z,IVZ,8.455310868,-17,Market,Filled,-143.740284756,Liquidated 
2020-06-29T19:50:00Z,COTY,4.7,60,Market,Filled,282, 
2020-06-29T19:50:00Z,IVZ,8.683148586,17,Market,Filled,147.613525962, 
2020-06-30T19:50:00Z,COTY,4.48,-60,Market,Filled,-268.8,Liquidated 
2020-07-09T19:50:00Z,COTY,4.12,78,Market,Filled,321.36, 
2020-07-20T19:50:00Z,COTY,3.99,-78,Market,Filled,-311.22,Liquidated 
2020-07-21T19:50:00Z,COTY,4.14,79,Market,Filled,327.06, 
2020-07-24T19:50:00Z,COTY,4.02,-79,Market,Filled,-317.58,Liquidated 
2020-07-31T19:50:00Z,COTY,3.71,98,Market,Filled,363.58, 
2020-07-31T19:50:00Z,IVZ,8.446872434,-17,Market,Filled,-143.596831378,Liquidated 
2020-08-04T19:50:00Z,IVZ,8.235911584,20,Market,Filled,164.71823168, 
2020-08-27T19:50:00Z,COTY,3.54,-98,Market,Filled,-346.92,Liquidated 
2020-08-28T19:50:00Z,COTY,3.72,102,Market,Filled,379.44, 
2020-08-31T19:50:00Z,COTY,3.59,-102,Market,Filled,-366.18,Liquidated 
2020-09-03T19:50:00Z,COTY,3.63,106,Market,Filled,384.78, 
2020-09-11T19:50:00Z,COTY,3.54,-106,Market,Filled,-375.24,Liquidated 
2020-09-14T19:50:00Z,COTY,3.41,120,Market,Filled,409.2, 
2020-09-15T19:50:00Z,COTY,3.19,-120,Market,Filled,-382.8,Liquidated 
2020-09-16T19:50:00Z,COTY,3.27,131,Market,Filled,428.37, 
2020-09-18T19:50:00Z,COTY,3.08,-131,Market,Filled,-403.48,Liquidated 
2020-09-22T04:00:00Z,KSS,18.534775167,-12,Market On Open,Filled,-222.417302004,Liquidated 
2020-09-30T19:50:00Z,OXY,9.761886102,14,Market,Filled,136.666405428, 
2020-09-30T19:50:00Z,NOV,8.783682315,-14,Market,Filled,-122.97155241,Liquidated 
2020-10-01T19:50:00Z,OXY,9.419535387,-14,Market,Filled,-131.873495418,Liquidated 
2020-10-02T19:50:00Z,OXY,9.644508714,14,Market,Filled,135.023121996, 
2020-10-02T19:50:00Z,NOV,8.46197142,19,Market,Filled,160.77745698, 
2020-10-06T04:00:00Z,NBL,8.46,-70,Market,Filled,-592.2,Liquidate from delisting 
2020-10-17T04:00:00Z,HST,10.077053154,-17,Market,Filled,-171.309903618,Liquidate from delisting 
2020-10-26T19:50:00Z,OXY,9.204343509,-14,Market,Filled,-128.860809126,Liquidated 
2020-10-28T19:50:00Z,OXY,8.754396855,17,Market,Filled,148.824746535, 
2020-10-28T19:50:00Z,FTI,3.9749438201164,-70,Market,Filled,-278.24606740815,Liquidated 
